date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:12	761/761	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Dec%202022%2006:42:44%20GMT	http://dtcpass.delhi.gov.in/robots.txt		(from )
12:14:20	166834/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:42:44%20GMT	http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/viewEPassdfca.html	(from )
12:14:26	959344/959344	---M--	200	added ('OK')	text/css	etag:W/%22959344-1646894696000%22	http://dtcpass.delhi.gov.in/css/style.css	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/css/style.css	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:14:28	15919/15919	---M--	200	added ('OK')	text/css	etag:W/%2215919-1542301202000%22	http://dtcpass.delhi.gov.in/js/paging/paging.css	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/js/paging/paging.css	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:14:36	130696/130696	---M--	200	added ('OK')	image/png	etag:W/%22130696-1513068500000%22	http://dtcpass.delhi.gov.in/images/DTC1.png	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/images/DTC1.png	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:14:41	9127/9127	---M--	200	added ('OK')	image/jpeg	etag:W/%229127-1601269346000%22	http://dtcpass.delhi.gov.in/images/Dtc.jpeg	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/images/Dtc.jpg	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:14:48	77498/77498	---M--	200	added ('OK')	application/javascript	etag:W/%2277498-1535705536000%22	http://dtcpass.delhi.gov.in/js/paging/jquery.dataTables.min.js	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/js/paging/jquery.dataTables.min.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:14:48	95786/95786	---M--	200	added ('OK')	application/javascript	etag:W/%2295786-1493210464000%22	http://dtcpass.delhi.gov.in/js/paging/jquery-1.11.1.min.js	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/js/paging/jquery-1.11.1.min.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:14:54	107453/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:43:06%20GMT	http://dtcpass.delhi.gov.in/home.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/home.html	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:14:56	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220127-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.eot	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
